date,USARECM,USARECDM,USARECDP,RECPROUSM156N,recess1,recess2,recess3,recess4,recess5,Adj Close,Value,T10Y2Y,BAMLCC1A013YTRIV,stock returns,bond returns
1978-11-30,1.0,1.0,1.0,0.04,1.0,10.0,20.0,20.0,25.0,94.69999694824219,5.34,-0.78,123.33,0.01663977881881904,0.004070666775217781
1978-12-29,1.0,1.0,1.0,0.26,0.0,20.0,30.0,40.0,30.0,96.11000061035156,5.34,-0.86,123.33,0.014889162698495181,0.0
1979-01-31,1.0,1.0,1.0,1.72,0.0,20.0,30.0,40.0,30.0,99.93000030517578,5.13,-0.82,125.05,0.03974612080496422,0.013946322873591169
1979-02-28,1.0,1.0,1.0,0.56,0.0,20.0,30.0,40.0,30.0,96.27999877929688,5.25,-0.72,125.66,-0.03652558305546065,0.0048780487804878005
1979-03-30,1.0,1.0,1.0,0.84,10.0,17.5,47.5,40.0,30.0,101.58999633789062,5.25,-0.72,125.66,0.05515161638883985,0.0
1979-04-30,1.0,1.0,1.0,19.1,10.0,17.5,47.5,40.0,30.0,101.76000213623047,5.14,-0.67,127.4,0.0016734501867132726,0.013846888429094454
1979-05-31,1.0,1.0,1.0,1.1,10.0,17.5,47.5,40.0,30.0,99.08000183105469,5.31,-0.58,128.69,-0.02633648043351994,0.010125588697017206
1979-06-29,1.0,1.0,1.0,1.58,10.0,30.0,49.0,40.0,25.0,102.91000366210938,5.31,-0.51,128.69,0.038655649578866365,0.0
1979-07-31,1.0,1.0,1.0,2.48,10.0,30.0,49.0,40.0,25.0,103.80999755859375,5.25,-0.37,130.89,0.008745446161282621,0.017095345403683182
1979-08-31,1.0,1.0,1.0,3.06,10.0,30.0,49.0,40.0,25.0,109.31999969482422,5.08,-0.6,131.36,0.05307776000206959,0.0035908014363207836
1979-09-28,1.0,1.0,1.0,2.12,77.5,65.0,50.0,25.0,10.0,109.31999969482422,5.08,-0.78,131.36,0.0,0.0
1979-10-31,1.0,1.0,1.0,1.76,77.5,65.0,50.0,25.0,10.0,101.81999969482422,5.32,-1.69,127.88,-0.0686059277436596,-0.026492082825822303
1979-11-30,1.0,1.0,1.0,2.62,77.5,65.0,50.0,25.0,10.0,106.16000366210938,5.4,-1.44,129.8,0.04262427794434349,0.015014075695965093
1979-12-31,1.0,1.0,1.0,3.76,70.0,72.5,60.0,30.0,12.5,107.94000244140625,5.24,-1.27,130.66,0.016767131856573136,0.006625577812018376
1980-01-31,1.0,1.0,1.0,7.18,70.0,72.5,60.0,30.0,12.5,114.16000366210938,5.14,-0.89,131.3,0.057624616268464206,0.0048982090923007406
1980-02-29,1.0,1.0,1.0,36.48,70.0,72.5,60.0,30.0,12.5,113.66000366210938,4.99,-2.01,128.98,-0.004379817659080489,-0.017669459253617834
1980-03-31,1.0,1.0,1.0,84.1,40.0,60.0,50.0,30.0,20.0,102.08999633789062,5.54,-2.41,128.35,-0.1017948878359558,-0.004884478213676504
1980-04-30,1.0,1.0,1.0,99.66,40.0,60.0,50.0,30.0,20.0,106.29000091552734,5.68,-1.99,135.58,0.04114021675283272,0.056330346708219854
1980-05-30,1.0,1.0,1.0,99.64,40.0,60.0,50.0,30.0,20.0,111.23999786376953,5.68,-0.13,135.58,0.04657067368148897,0.0
1980-06-30,1.0,1.0,1.0,87.3,97.0,80.0,60.0,35.0,20.0,114.23999786376953,5.18,0.88,143.84,0.026968716807006424,0.06092344003540338
1980-07-31,1.0,1.0,1.0,31.38,97.0,80.0,60.0,35.0,20.0,121.66999816894531,4.99,1.04,144.18,0.06503851929370665,0.0023637374860956857
1980-08-29,1.0,1.0,1.0,0.3,97.0,80.0,60.0,35.0,20.0,122.37999725341797,4.99,0.03,144.18,0.005835449125977502,0.0
1980-09-30,1.0,1.0,1.0,0.02,80.0,50.0,30.0,15.0,10.0,125.45999908447266,4.8,-0.41,141.78,0.02516752655809253,-0.016645859342488595
1980-10-31,1.0,1.0,1.0,0.04,80.0,50.0,30.0,15.0,10.0,127.47000122070312,4.69,-0.62,141.61,0.016021059707462034,-0.001199040767386003
1980-11-28,1.0,1.0,1.0,0.06,80.0,50.0,30.0,15.0,10.0,140.52000427246094,4.69,-1.41,141.61,0.10237705284997116,0.0
1980-12-31,1.0,1.0,1.0,0.42,20.0,40.0,20.0,10.0,10.0,135.75999450683594,4.61,-1.7,143.72,-0.033874250077558996,0.01490007767812997
1981-01-30,1.0,1.0,1.0,2.16,20.0,40.0,20.0,10.0,10.0,129.5500030517578,4.61,-1.02,143.72,-0.04574242565077176,0.0
1981-02-27,1.0,1.0,1.0,2.14,20.0,40.0,20.0,10.0,10.0,131.27000427246094,4.61,-0.92,143.72,0.013276736242267398,0.0
1981-03-31,1.0,1.0,1.0,1.22,20.0,30.0,15.0,10.0,5.0,136.0,4.71,-0.78,147.76,0.03603257083561599,0.028110214305594156
1981-04-30,1.0,1.0,1.0,1.56,20.0,30.0,15.0,10.0,5.0,132.80999755859375,4.7,-0.81,146.74,-0.02345590030445772,-0.0069030860855440026
1981-05-29,1.0,1.0,1.0,1.34,20.0,30.0,15.0,10.0,5.0,132.58999633789062,4.7,-1.7,146.74,-0.001656510991245699,0.0
1981-06-30,1.0,1.0,1.0,1.48,40.0,20.0,10.0,10.0,10.0,131.2100067138672,4.83,-1.25,150.31,-0.010407946769277298,0.024328744718549768
1981-07-31,1.0,1.0,1.0,3.96,40.0,20.0,10.0,10.0,10.0,130.9199981689453,4.98,-1.39,150.02,-0.0022102624044087094,-0.0019293460182289405
